name,常住人口2010,订单数,包邮率,城市简称,省,城市等级,lng,lat,区域
鄂尔多斯市,1940653,154570,0.9245261046774924,鄂尔多斯市,内蒙古自治区,三线及以下,108.619313,39.40757353,华北
北京市,19612368,5746913,0.9156359248869784,北京市,北京市,一线,116.4106532,40.18364019,华北
吉林市,4413157,1282369,0.971811545662754,吉林市,吉林省,三线及以下,126.8469971,43.57941760000001,东北
四平市,3385156,4,1.0,四平市,吉林省,三线及以下,124.4740184,43.57022234,东北
松原市,2880086,0,0.0,松原市,吉林省,三线及以下,124.472488,44.80023575,东北
白城市,2032356,0,0.0,白城市,吉林省,三线及以下,123.0109093,45.34331239,东北
白山市,1296127,12,0.9166666666666666,白山市,吉林省,三线及以下,127.2868228,42.06745913,东北
辽源市,1176239,0,0.0,辽源市,吉林省,三线及以下,125.3056245,42.81002948,东北
通化市,2324439,0,0.0,通化市,吉林省,三线及以下,125.9495989,41.95255792,东北
长春市,7674439,1093806,0.970378659469778,长春市,吉林省,三线及以下,125.7643053,44.38207574,东北
乐山市,3235759,192361,0.9700147119218552,乐山市,四川省,三线及以下,103.5671094,29.20990151,西南
内江市,3702847,167022,0.9740213864041862,内江市,四川省,三线及以下,104.9103064,29.64110195,西南
南充市,6278614,301648,0.973900042433565,南充市,四川省,三线及以下,106.202723,31.19495864,西南
宜宾市,4471896,228201,0.9703945206199798,宜宾市,四川省,三线及以下,104.6333754,28.57355141,西南
巴中市,3283148,116278,0.9759369786202032,巴中市,四川省,三线及以下,107.0374027,32.01664419,西南
广元市,2484122,112787,0.970900901699664,广元市,四川省,三线及以下,105.7807315,32.26157186,西南
广安市,3205476,155460,0.9759873922552426,广安市,四川省,三线及以下,106.6641255,30.4266135,西南
德阳市,3615758,238915,0.9700730385283468,德阳市,四川省,三线及以下,104.4317329,31.13342459,西南
成都市,14047625,2865078,0.9654075735459908,成都市,四川省,二线,103.8238444,30.70123797,西南
攀枝花市,1214121,75262,0.9658127607557598,攀枝花市,四川省,三线及以下,101.7301879,26.80648033,西南
泸州市,4218427,218248,0.969594223085664,泸州市,四川省,三线及以下,105.6660566,28.43973552,西南
眉山市,2950545,167867,0.9720612151286436,眉山市,四川省,三线及以下,103.7489454,29.9263803,西南
绵阳市,4613871,357857,0.970423940288998,绵阳市,四川省,三线及以下,104.7047992,31.84814646,西南
自贡市,2678899,149561,0.9740975254244088,自贡市,四川省,三线及以下,104.6821297,29.28762159,西南
资阳市,3665057,102172,0.9738480209842226,资阳市,四川省,三线及以下,104.9513497,30.18132495,西南
达州市,5468097,207494,0.9758595429265424,达州市,四川省,三线及以下,107.6415441,31.36424734,西南
遂宁市,3252619,143376,0.9740821336904364,遂宁市,四川省,三线及以下,105.4712571,30.63189282,西南
雅安市,1507258,87142,0.9710931582933604,雅安市,四川省,三线及以下,102.663208,29.91459365,西南
天津市,12938693,2410936,0.9469044387739866,天津市,天津市,二线,117.3267275,39.30633233,华北
中卫市,1080832,38740,0.9350542075374291,中卫市,宁夏回族自治区,三线及以下,105.4742162,37.04187964,西北
吴忠市,1273792,59174,0.936796566059418,吴忠市,宁夏回族自治区,三线及以下,106.5426352,37.45753745,西北
固原市,1228156,43240,0.9367021276595744,固原市,宁夏回族自治区,三线及以下,106.180875,35.95133072,西北
